id,name,native,population,prefecture,prefecture_display,area_km2,density_km2,population_rank,population_prefecture_rank,density_km2_rank,density_km2_prefecture_rank,area_km2_rank,area_km2_prefecture_rank,growth_annual_pct,growth_annual_pct_rank,growth_annual_pct_prefecture_rank,division_type,division_type_native,division_type_display
22,Akishima,昭島,548584,SMD,Shuto Metropolitan District,65.9655,8316.225905965997,29,7,36,20,280,10,0.81,88,7,To,都,Municipal-level city
23,Niiza,新座,383283,SMD,Shuto Metropolitan District,76.3775,5018.271087689437,52,11,64,27,274,8,0.38,148,10,To,都,Municipal-level city
24,Tokorozawa,所沢,507383,SMD,Shuto Metropolitan District,104.7365,4844.376124846639,38,8,65,28,249,5,0.96,72,4,To,都,Municipal-level city
25,Kiyose,清瀬,233898,SMD,Shuto Metropolitan District,83.159,2812.6600848976054,129,25,76,31,266,6,0.77,91,8,To,都,Municipal-level city
26,Wako,和光,146695,SMD,Shuto Metropolitan District,51.7175,2836.467346642819,205,29,75,30,296,13,0.94,74,5,To,都,Municipal-level city
27,Sayama,狭山,270292,SMD,Shuto Metropolitan District,19.7965,13653.52461293663,102,21,9,8,321,24,-0.6,257,24,To,都,Municipal-level city
28,Iruma,入間,306499,SMD,Shuto Metropolitan District,59.5265,5148.950467438872,87,19,56,23,289,11,1.13,50,2,To,都,Municipal-level city
29,Tachikawa,立川,584382,SMD,Shuto Metropolitan District,116.45,5018.3082868183765,27,6,63,26,242,4,0.94,75,6,To,都,Municipal-level city
30,Kokubunji,国分寺,287483,SMD,Shuto Metropolitan District,56.033,5130.601609765674,95,20,59,25,294,12,1.16,44,1,To,都,Municipal-level city
31,Kunitachi,国立,158776,SMD,Shuto Metropolitan District,12.056,13169.87392169874,187,28,10,9,331,30,1.13,51,3,To,都,Municipal-level city
32,Mihama,三浜,709283,Shitagawa,Shitagawa,839.262,845.1270282700755,17,4,153,12,122,8,0.84,85,8,Dō,道,Municipality
33,Tsuzuki,都筑,372293,Shitagawa,Shitagawa,549.0275,678.095359522064,56,15,159,13,148,11,0.92,76,7,Dō,道,Municipality
34,Kureha,呉羽,287144,Shitagawa,Shitagawa,2877.822,99.77823506804799,96,19,244,21,56,1,-0.14,192,19,Dō,道,Municipality
35,Sakado,坂戸,842578,Shitagawa,Shitagawa,322.224,2614.8828144396443,12,2,80,4,180,16,1.25,36,3,Dō,道,Municipality
36,Matsumoto,松本,767832,Shitagawa,Shitagawa,140.7675,5454.611327188449,15,3,48,1,230,21,1.07,60,5,To,都,Municipal-level city
37,Namerikawa,滑川,473593,Shitagawa,Shitagawa,899.7475,526.3621182609565,42,13,168,15,117,7,0.96,73,6,Dō,道,Municipality
38,Shiojiri,塩尻,501583,Shitagawa,Shitagawa,244.2025,2053.963411512986,41,12,97,6,194,19,0.22,165,18,Dō,道,Municipality
39,Mizunashi,水無,405223,Shitagawa,Shitagawa,402.917,1005.7232631038155,49,14,142,11,167,15,0.42,144,14,Dō,道,Municipality
40,Kashiwara,柏原,516944,Shitagawa,Shitagawa,284.823,1814.9657857687057,36,9,100,7,186,17,0.51,128,12,Dō,道,Municipality
41,Tsumagoi,嬬恋,345298,Shitagawa,Shitagawa,616.5,560.0940794809408,67,17,162,14,143,10,1.08,59,4,Dō,道,Municipality
42,Koganei,小金井,506399,Shitagawa,Shitagawa,1982.733,255.4045350533834,39,11,204,18,70,3,0.56,122,11,Dō,道,Municipality
43,Saegusa,三枝,336883,Shitagawa,Shitagawa,1281.43,262.8961394691868,68,18,201,17,98,6,0.47,135,13,Dō,道,Municipality
44,Kumode,雲出,528926,Shitagawa,Shitagawa,419.905,1259.6325359307464,31,7,117,8,165,14,0.36,151,17,Dō,道,Municipality
45,Kawamachi,川町,1102944,Shitagawa,Shitagawa,208.377,5293.02178263436,8,1,52,2,202,20,-0.28,210,20,To,都,Municipal-level city
46,Utsugi,空木,163293,Shitagawa,Shitagawa,1623.176,100.60092066417937,181,22,243,20,85,5,-0.35,218,21,Dō,道,Municipality
47,Shibukawa,渋川,519333,Shitagawa,Shitagawa,421.6175,1231.7633874305502,35,8,120,9,164,13,0.74,98,9,Dō,道,Municipality
48,Miyanose,宮瀬,651584,Shitagawa,Shitagawa,255.505,2550.181014070175,24,5,88,5,192,18,0.63,114,10,Dō,道,Municipality
49,Kurobe,黒部,513948,Shitagawa,Shitagawa,488.1995,1052.7417582361309,37,10,132,10,154,12,0.41,146,15,Dō,道,Municipality
50,Suwabe,諏訪部,371489,Shitagawa,Shitagawa,733.8405,506.2258079242015,58,16,172,16,129,9,1.39,23,2,Dō,道,Municipality
51,Komae,狛江,181398,Shitagawa,Shitagawa,1744.764,103.96706947185982,165,21,241,19,79,4,0.39,147,16,Dō,道,Municipality
52,Nishikori,錦織,534024,Shitagawa,Shitagawa,101.928,5239.227690134213,30,6,53,3,254,22,1.71,8,1,To,都,Municipal-level city
53,Tono,遠野,241852,Shitagawa,Shitagawa,2874.123,84.1481036128238,121,20,250,22,57,2,-1.19,311,22,Dō,道,Municipality
54,Idaina,伊大那,662293,IMD,Idaina Metropolitan District,65.8285,10060.885482731643,21,2,30,7,281,5,-0.22,200,9,To,都,Municipal-level city
55,Hoshina,保科,703485,IMD,Idaina Metropolitan District,132.479,5310.162365356018,18,1,51,11,232,1,0.97,68,4,To,都,Municipal-level city
56,Shizume,鎮目,241382,IMD,Idaina Metropolitan District,19.317,12495.832686234922,122,10,12,2,322,12,-0.47,237,12,To,都,Municipal-level city
57,Makabe,真壁,162977,IMD,Idaina Metropolitan District,15.4125,10574.33901054339,182,14,22,5,326,13,-0.4,227,11,To,都,Municipal-level city
58,Yamate,山手,209378,IMD,Idaina Metropolitan District,64.938,3224.2754627490835,144,12,72,14,283,6,-0.92,290,14,To,都,Municipal-level city
59,Senzoku,千束,207929,IMD,Idaina Metropolitan District,14.0425,14807.121239095603,146,13,7,1,327,14,0.38,149,6,To,都,Municipal-level city
60,Kuzuha,葛葉,233192,IMD,Idaina Metropolitan District,23.0845,10101.669951699192,131,11,27,6,317,10,1.44,20,2,To,都,Municipal-level city
61,Natori,名取,525329,IMD,Idaina Metropolitan District,96.585,5439.032976135011,32,4,49,10,257,3,1.7,9,1,To,都,Municipal-level city
62,Hozumi,穂積,361693,IMD,Idaina Metropolitan District,35.9625,10057.504344803616,63,5,31,8,304,8,0.25,164,7,To,都,Municipal-level city
63,Ayabe,綾部,345928,IMD,Idaina Metropolitan District,74.4595,4645.854457792491,66,6,66,13,277,4,-0.18,196,8,To,都,Municipal-level city
64,Ukita,宇喜多,308161,IMD,Idaina Metropolitan District,25.756,11964.6296008697,86,8,14,3,315,9,-0.3,212,10,To,都,Municipal-level city
65,Katsura,桂,631292,IMD,Idaina Metropolitan District,124.0535,5088.868915427618,25,3,61,12,237,2,1.11,54,3,To,都,Municipal-level city
66,Kagura,神楽,248394,IMD,Idaina Metropolitan District,22.1255,11226.593749293801,116,9,15,4,319,11,-0.66,267,13,To,都,Municipal-level city
67,Yashiro,八代,323283,IMD,Idaina Metropolitan District,57.403,5631.813668275177,75,7,45,9,292,7,0.77,92,5,To,都,Municipal-level city
68,Kojima,小島,2527293,Kaido,Kaido,244.819,10323.108092100696,1,1,25,1,193,13,-0.4,228,31,To,都,Municipal-level city
69,Sagara,相良,126384,Kaido,Kaido,53.6355,2356.3498056324634,240,34,95,12,295,33,0.66,110,19,To,都,Municipal-level city
70,Iwatsuki,岩槻,177392,Kaido,Kaido,168.51,1052.7090380392856,168,27,133,22,215,19,1.09,57,10,To,都,Municipal-level city
71,Komoro,小諸,151233,Kaido,Kaido,17.1935,8795.940326286096,196,28,33,2,324,35,-0.64,261,34,To,都,Municipal-level city
72,Tomonoura,鞆浦,177494,Kaido,Kaido,34.798,5100.695442266797,167,26,60,5,308,34,-0.65,264,35,To,都,Municipal-level city
73,Akitsu,安津,149382,Kaido,Kaido,132.342,1128.7573106043433,197,29,128,21,233,25,1.25,37,5,Dō,道,Municipality
74,Shibata,新発田,199483,Kaido,Kaido,161.4545,1235.536946941708,150,22,119,20,224,21,0.74,99,14,Dō,道,Municipality
75,Mibu,壬生,276494,Kaido,Kaido,84.803,3260.4271075315733,100,14,71,7,265,28,0.55,124,25,To,都,Municipal-level city
76,Hanyū,羽生,318923,Kaido,Kaido,75.624,4217.219401248281,78,10,69,6,275,30,0.63,115,21,To,都,Municipal-level city
77,Ogose,越生,74283,Kaido,Kaido,8.5625,8675.38686131387,298,36,34,3,332,36,-0.48,239,33,To,都,Municipal-level city
78,Gyōda,行田,294394,Kaido,Kaido,427.3715,688.8479929054698,91,13,158,26,161,8,-0.04,180,29,Dō,道,Municipality
79,Katori,香取,259384,Kaido,Kaido,155.906,1663.7204469359742,110,17,115,19,226,22,1.12,52,8,Dō,道,Municipality
80,Tarui,垂井,129283,Kaido,Kaido,426.8235,302.89569341894247,238,33,192,32,162,9,0.56,123,24,Dō,道,Municipality
81,Hino,日野,141295,Kaido,Kaido,6202.607,22.779937532718098,216,30,280,35,22,1,-1.06,299,36,Dō,道,Municipality
82,Kurihara,栗原,459487,Kaido,Kaido,1423.019,322.8958994925577,44,5,189,30,90,5,0.55,125,26,Dō,道,Municipality
83,Saijō,西条,209338,Kaido,Kaido,358.4605,583.9918205771626,145,21,161,27,172,11,1.1,55,9,Dō,道,Municipality
84,Koori,桑折,235495,Kaido,Kaido,228.516,1030.5405310787867,128,19,137,23,201,15,2.27,1,1,Dō,道,Municipality
85,Yūki,結城,136495,Kaido,Kaido,523.34,260.815148851607,225,32,203,34,150,7,1.14,49,7,Dō,道,Municipality
86,Kume,久米,105611,Kaido,Kaido,4674.372,22.59362327174645,269,35,283,36,35,2,-0.41,229,32,Dō,道,Municipality
87,Takatsuki,高槻,468394,Kaido,Kaido,1679.141,278.94858144729955,43,4,194,33,81,4,0.16,170,28,Dō,道,Municipality
88,Mihara,三原,309204,Kaido,Kaido,162.893,1898.2031149282043,82,11,99,13,223,20,0.57,120,23,Dō,道,Municipality
89,Futakawa,二川,656949,Kaido,Kaido,96.585,6801.770461251747,22,3,37,4,258,27,0.64,113,20,To,都,Municipal-level city
90,Nagae,長柄,320293,Kaido,Kaido,185.9775,1722.2137086475516,76,9,104,15,207,18,0.63,116,22,Dō,道,Municipality
91,Tatsuno,龍野,329296,Kaido,Kaido,197.143,1670.3408185936098,69,7,113,18,204,16,0.71,103,18,Dō,道,Municipality
92,Mino,箕野,267991,Kaido,Kaido,311.812,859.4633946095724,103,15,147,24,182,12,1.36,29,4,Dō,道,Municipality
93,Kizaki,木崎,139395,Kaido,Kaido,399.2865,349.11022536449394,220,31,185,29,168,10,1.03,64,11,Dō,道,Municipality
94,Arita,有田,262384,Kaido,Kaido,155.8375,1683.7025747974653,107,16,109,17,227,23,1.64,10,2,Dō,道,Municipality
95,Sōma,相馬,239111,Kaido,Kaido,141.521,1689.5796383575585,123,18,108,16,229,24,1.15,48,6,Dō,道,Municipality
96,Kameoka,亀岡,228183,Kaido,Kaido,81.9945,2782.9061705358286,135,20,78,9,268,29,0.74,100,15,To,都,Municipal-level city
97,Kitanaga,北長,329012,Kaido,Kaido,190.156,1730.2215023454426,70,8,103,14,206,17,0.72,102,17,Dō,道,Municipality
98,Shikama,飾磨,182034,Kaido,Kaido,239.8185,759.0490308295649,164,25,157,25,198,14,0.77,93,13,Dō,道,Municipality
99,Kashima,鹿島,183392,Kaido,Kaido,70.7605,2591.7284360624926,163,24,82,10,279,31,1.58,12,3,To,都,Municipal-level city
100,Tamba,丹波,309102,Kaido,Kaido,120.697,2560.975003521214,83,12,87,11,240,26,0.87,81,12,To,都,Municipal-level city
101,Seki,関,191392,Kaido,Kaido,62.2665,3073.7555507375555,159,23,73,8,285,32,0.33,154,27,To,都,Municipal-level city
102,Owari,尾張,452392,Kaido,Kaido,816.52,554.0488904129721,46,6,164,28,124,6,0.74,101,16,Dō,道,Municipality
103,Kashihara,橿原,904293,Kaido,Kaido,2865.15,315.6180304696089,9,2,190,31,58,3,-0.11,189,30,Dō,道,Municipality
104,Mikage,御影,769382,Uegawa,Uegawa,306.5375,2509.9115116421317,14,1,93,5,184,7,0.5,129,4,Dō,道,Municipality
105,Kuroha,黒羽,457982,Uegawa,Uegawa,178.511,2565.567388004101,45,3,85,4,211,8,0.61,117,2,To,都,Municipal-level city
106,Kutsuki,朽木,160019,Uegawa,Uegawa,63.9105,2503.798280407758,184,11,94,6,284,11,0.92,77,1,To,都,Municipal-level city
107,Shikata,志方,308298,Uegawa,Uegawa,1167.377,264.09463266793847,84,6,200,10,103,5,-0.65,265,11,Dō,道,Municipality
108,Hieda,稗田,210950,Uegawa,Uegawa,2371.607,88.94812673431981,142,7,248,12,63,4,-0.95,291,12,Dō,道,Municipality
109,Yuzuriha,楪,158320,Uegawa,Uegawa,4176.034,37.911568727649254,189,12,269,13,42,2,-1.29,318,14,Dō,道,Municipality
110,Mushiroda,筵田,196458,Uegawa,Uegawa,110.3535,1780.2607076350093,154,9,101,7,247,9,-0.31,214,7,Dō,道,Municipality
111,Suyama,陶山,77239,Uegawa,Uegawa,62.061,1244.5658303926782,296,14,118,8,286,12,0.27,162,5,Dō,道,Municipality
112,Nabari,名張,328029,Uegawa,Uegawa,639.653,512.8233589149116,73,5,171,9,135,6,-0.36,220,8,Dō,道,Municipality
113,Toki,土岐,148509,Uegawa,Uegawa,28.907,5137.475351990867,201,13,58,2,313,14,-0.42,231,9,To,都,Municipal-level city
114,Kumano,久万野,207920,Uegawa,Uegawa,10129.1,20.526996475501278,147,8,290,14,9,1,-1.06,300,13,Dō,道,Municipality
115,Saeki,佐伯,196394,Uegawa,Uegawa,58.8415,3337.6783392673537,155,10,70,3,291,13,0.61,118,3,To,都,Municipal-level city
116,Manda,万田,380392,Uegawa,Uegawa,3134.081,121.37274052585111,53,4,233,11,51,3,-0.57,254,10,Dō,道,Municipality
117,Yamaguchi,山口,519787,Uegawa,Uegawa,88.1595,5895.983983575225,34,2,41,1,263,10,-0.15,193,6,To,都,Municipal-level city
118,Shizuki,志筑,129902,Teizan,Teizan,3022.563,42.977433390139424,235,7,262,7,54,2,-1.15,307,10,Dō,道,Municipality
119,Habu,土生,96342,Teizan,Teizan,2226.593,43.268796767078676,281,8,261,6,66,3,-0.56,251,3,Dō,道,Municipality
120,Tsukumi,津久見,159023,Teizan,Teizan,1412.196,112.60689026169173,186,5,235,5,91,5,0.09,173,1,Dō,道,Municipality
121,Ujina,宇品,144283,Teizan,Teizan,138.37,1042.7332514273326,212,6,134,2,231,12,-0.7,271,4,To,都,Municipal-level city
122,Saitama,埼玉,602797,Teizan,Teizan,361.269,1668.5544566514147,26,1,114,1,171,11,-0.54,248,2,To,都,Municipal-level city
123,Hachisuka,蜂須賀,368390,Teizan,Teizan,857.5515,429.5835293856987,59,2,179,3,121,7,-1.02,297,8,Dō,道,Municipality
124,Senzaki,仙崎,213283,Teizan,Teizan,752.7465,283.3397431937578,140,4,193,4,128,8,-0.71,274,5,Dō,道,Municipality
125,Kunitomi,国富,256293,Teizan,Teizan,11065.63,23.16117564024823,112,3,278,8,6,1,-1.63,332,12,Dō,道,Municipality
126,Kutsuna,忽那,26402,Teizan,Teizan,1926.22,13.706637871063533,317,9,312,12,72,4,-1.21,312,11,Dō,道,Municipality
127,Hisaka,久賀,15232,Teizan,Teizan,871.6625,17.474653320522563,325,10,304,10,119,6,-1.1,305,9,Dō,道,Municipality
128,Aki,安芸,148280,Waradani,Waradani,1405.141,105.52677631639814,202,11,239,11,93,11,-0.73,278,16,Dō,道,Municipality
129,Yura,由良,201293,Waradani,Waradani,170.839,1178.2614040119645,149,6,126,2,214,22,-0.26,204,5,To,都,Municipal-level city
130,Usuki,臼杵,175393,Waradani,Waradani,1012.91,173.1575362075604,170,10,217,8,107,15,-0.37,221,7,Dō,道,Municipality
131,Saika,雑賀,134208,Waradani,Waradani,768.707,174.58927783928075,226,12,215,6,127,16,-0.35,219,6,Dō,道,Municipality
132,Ikaruga,斑鳩,121401,Waradani,Waradani,1335.065,90.93265121922903,248,16,247,12,94,12,-0.82,286,18,Dō,道,Municipality
133,Munakata,宗像,256399,Waradani,Waradani,1471.38,174.25749976212805,111,4,216,7,88,10,-0.64,262,13,Dō,道,Municipality
134,Tobe,砥部,197102,Waradani,Waradani,1157.034,170.35108734920493,153,8,221,9,104,13,0.03,176,3,Dō,道,Municipality
135,Kimori,木守,1232300,Waradani,Waradani,238.4485,5167.992249898825,6,1,55,1,199,21,-0.43,233,8,To,都,Municipal-level city
136,Shisō,宍粟,309381,Waradani,Waradani,728.155,424.8834382789379,81,2,181,4,131,17,0.49,131,1,Dō,道,Municipality
137,Hioki,日置,121391,Waradani,Waradani,573.5505,211.64832041816717,250,17,210,5,146,19,0.47,136,2,Dō,道,Municipality
138,Takachiho,高千穂,230019,Waradani,Waradani,5396.43,42.62429050316598,132,5,263,14,28,4,-0.69,270,14,Dō,道,Municipality
139,Obi,飫肥,128348,Waradani,Waradani,6425.232,19.975621113759004,239,14,292,16,21,3,-1.25,315,20,Dō,道,Municipality
140,Aida,英田,130118,Waradani,Waradani,1062.846,122.42413294117868,234,13,231,10,106,14,-0.62,258,11,Dō,道,Municipality
141,Kitsuki,杵築,193288,Waradani,Waradani,9127.762,21.17583696858003,158,9,287,15,10,2,-0.62,259,12,Dō,道,Municipality
142,Sonogi,彼杵,279909,Waradani,Waradani,638.968,438.0641910080004,97,3,178,3,136,18,-0.03,177,4,Dō,道,Municipality
143,Kushima,串間,125294,Waradani,Waradani,1517.001,82.59322175792897,243,15,252,13,87,9,-0.51,244,9,Dō,道,Municipality
144,Ei,頴娃,48201,Waradani,Waradani,2827.886,17.044887948099746,312,18,308,19,60,6,-0.79,283,17,Dō,道,Municipality
145,Aira,吾平,46293,Waradani,Waradani,5042.559,9.180457779472684,313,19,316,20,32,5,-0.72,276,15,Dō,道,Municipality
146,Suki,須木,198390,Waradani,Waradani,10469.27,18.949745302203496,151,7,296,17,8,1,-0.54,249,10,Dō,道,Municipality
147,Kōzu,神津,18398,Waradani,Waradani,2251.116,8.172835162648216,322,20,320,22,65,7,-1.54,329,21,Dō,道,Municipality
148,Toshima,利島,6199,Waradani,Waradani,328.4575,18.873065769544006,331,22,297,18,178,20,-1.6,331,22,Dō,道,Municipality
149,Mikura,御蔵,16092,Waradani,Waradani,1830.115,8.792890064285578,324,21,318,21,76,8,-1.06,301,19,Dō,道,Municipality
150,Hiruga,比留賀,138202,Hokusho,Hokusho,114.395,1208.1122426679487,221,6,123,1,244,13,1.54,14,1,To,都,Municipal-level city
151,Kushiro,久代,151934,Hokusho,Hokusho,180.6345,841.1128549640296,195,4,154,2,208,12,1.02,66,4,Dō,道,Municipality
152,Nafune,名舟,279483,Hokusho,Hokusho,502.516,556.1673658152177,98,3,163,3,153,10,0.69,107,5,Dō,道,Municipality
153,Shiiba,椎葉,42490,Hokusho,Hokusho,1888.477,22.49961212130198,315,13,284,11,75,5,-0.25,202,8,Dō,道,Municipality
154,Kumose,久茂瀬,304623,Hokusho,Hokusho,1794.084,169.79305316807907,88,2,223,5,78,6,0.3,159,6,Dō,道,Municipality
155,Hineno,日根野,140392,Hokusho,Hokusho,7457.116,18.826581214507055,217,5,299,12,16,2,1.18,42,3,Dō,道,Municipality
156,Okuani,奥阿仁,79240,Hokusho,Hokusho,8595.38,9.218905970416667,292,9,315,13,12,1,-0.44,235,10,Dō,道,Municipality
157,Akune,阿久根,129342,Hokusho,Hokusho,395.382,327.13173589086,237,7,187,4,169,11,0.27,163,7,To,都,Municipal-level city
158,Akita,秋田,308203,Hokusho,Hokusho,7448.074,41.38022796228931,85,1,266,9,17,3,-0.71,275,12,Dō,道,Municipality
159,Higaki,日垣,98053,Hokusho,Hokusho,3986.769,24.594602797403113,279,8,274,10,44,4,-0.49,242,11,Dō,道,Municipality
160,Sukune,宿禰,49041,Hokusho,Hokusho,921.873,53.19713235988037,310,12,255,7,115,8,-0.39,223,9,Dō,道,Municipality
161,Ushio,牛尾,69295,Hokusho,Hokusho,1639.959,42.254105133116134,301,11,264,8,84,7,-1.06,302,13,Dō,道,Municipality
162,Ogi,小木,78483,Hokusho,Hokusho,729.3195,107.61127324855568,294,10,237,6,130,9,1.47,18,2,Dō,道,Municipality
163,Shiunji,紫雲寺,293290,Gyoson,Gyoson,482.24,608.1826476443265,92,7,160,11,155,13,0.1,172,8,Dō,道,Municipality
164,Katsube,勝部,210029,Gyoson,Gyoson,82.6795,2540.2790292636023,143,11,89,5,267,24,0.58,119,4,To,都,Municipal-level city
165,Mikumo,三雲,87438,Gyoson,Gyoson,4505.725,19.405977950274373,287,24,295,26,38,2,-0.8,284,25,Dō,道,Municipality
166,Kanzaki,神埼,350192,Gyoson,Gyoson,348.117,1005.960639669996,65,4,141,9,175,17,-0.19,197,15,Dō,道,Municipality
167,Yoshimi,吉見,137068,Gyoson,Gyoson,161.249,850.0393800891788,223,18,152,10,225,19,-0.29,211,18,Dō,道,Municipality
168,Hirano,比良野,249388,Gyoson,Gyoson,458.3335,544.1190748657909,114,9,165,12,157,14,-0.1,186,12,Dō,道,Municipality
169,Tada,多田,119302,Gyoson,Gyoson,945.574,126.16886674125982,255,21,230,21,112,9,-0.77,280,23,Dō,道,Municipality
170,Heguri,平群,144298,Gyoson,Gyoson,268.1775,538.0690028059773,211,17,166,13,190,18,-0.1,187,13,Dō,道,Municipality
171,Shibagaki,柴垣,261887,Gyoson,Gyoson,832.2065,314.6899237148472,108,8,191,15,123,10,-0.32,215,19,Dō,道,Municipality
172,Ninomiya,二宮,144395,Gyoson,Gyoson,57.1975,2524.498448358757,210,16,90,6,293,25,-0.08,182,11,To,都,Municipal-level city
173,Yuge,弓削,68029,Gyoson,Gyoson,3247.859,20.94579844753113,303,25,289,25,49,3,-1.39,324,27,Dō,道,Municipality
174,Kuze,久世,119482,Gyoson,Gyoson,116.998,1021.2311321561052,254,20,138,8,241,21,-0.62,260,22,To,都,Municipal-level city
175,Katsuragi,葛城,50499,Gyoson,Gyoson,5665.841,8.912886895343515,309,26,317,27,25,1,-0.77,281,24,Dō,道,Municipality
176,Mimuro,三室,154521,Gyoson,Gyoson,577.866,267.3993624819595,193,14,197,17,145,11,-0.21,199,16,Dō,道,Municipality
177,Koyasushita,子安下,159234,Gyoson,Gyoson,1319.995,120.63227512225426,185,13,234,22,96,5,0.2,167,7,Dō,道,Municipality
178,Mio,三尾,148549,Gyoson,Gyoson,455.1825,326.35041988652904,200,15,188,14,158,15,1.18,43,2,Dō,道,Municipality
179,Takatori,高取,656496,Gyoson,Gyoson,102.2705,6419.211796168005,23,2,40,4,252,22,0.29,160,6,To,都,Municipal-level city
180,Katata,堅田,116400,Gyoson,Gyoson,417.987,278.4775603068995,260,22,195,16,166,16,1.25,38,1,Dō,道,Municipality
181,Sasayama,笹山,524309,Gyoson,Gyoson,47.95,10934.494264859228,33,3,17,2,300,26,-0.03,178,10,To,都,Municipal-level city
182,Nagi,凪,131594,Gyoson,Gyoson,518.545,253.77546789574677,229,19,206,18,152,12,0.82,87,3,Dō,道,Municipality
183,Uryū,雨龍,300287,Gyoson,Gyoson,29.044,10339.037322682825,89,6,24,3,312,27,-0.27,207,17,To,都,Municipal-level city
184,Fujizato,藤里,1244803,Gyoson,Gyoson,101.9965,12204.369757785807,4,1,13,1,253,23,-0.49,243,21,To,都,Municipal-level city
185,Omiwa,大三輪,245439,Gyoson,Gyoson,1105.727,221.97070343764778,119,10,208,19,105,7,0.44,141,5,Dō,道,Municipality
186,Nagisa,長洲,102492,Gyoson,Gyoson,1895.327,54.07615677927872,273,23,254,23,74,4,-0.47,238,20,Dō,道,Municipality
187,Hase,初瀬,169004,Gyoson,Gyoson,980.4405,172.3755801601423,174,12,219,20,109,8,-0.12,191,14,Dō,道,Municipality
188,Izōshima,以曾島,316394,Gyoson,Gyoson,125.766,2515.7355724122576,80,5,91,7,236,20,0.09,174,9,To,都,Municipal-level city
189,Tamakushi,玉櫛,48281,Gyoson,Gyoson,1211.902,39.839029888555345,311,27,268,24,102,6,-0.95,292,26,Dō,道,Municipality
190,Kasama,笠間,166832,Iwatsu,Iwatsu,95.5575,1745.8807524265494,176,11,102,8,259,35,0.92,78,16,To,都,Municipal-level city
